State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Anantapur,Hindupur,"Tamarind Fruit","Non A/c Fine",FAQ,28/03/2025,8000,20800,9000
"Andhra Pradesh",Chittor,Chittoor,Gur(Jaggery),"NO 2",FAQ,28/03/2025,3400,3500,3500
"Andhra Pradesh",Chittor,Mulakalacheruvu,Tomato,Local,FAQ,28/03/2025,900,1100,1000
"Andhra Pradesh",Chittor,Palamaner,Potato,"(Red Nanital)",FAQ,28/03/2025,1500,2000,1800
"Andhra Pradesh",Chittor,Punganur,Tomato,Hybrid,FAQ,28/03/2025,900,1070,1000
"Andhra Pradesh","East Godavari",Rajahmundry,"Water Melon",Other,Medium,28/03/2025,2500,3000,2700
"Andhra Pradesh",Guntur,Duggirala,Turmeric,Bulb,FAQ,28/03/2025,10200,10600,10300
"Andhra Pradesh",Guntur,Pidugurala(Palnadu),"Dry Chillies",Red,FAQ,28/03/2025,9000,13000,11900
"Andhra Pradesh",Guntur,Tenali,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",Non-FAQ,28/03/2025,7400,7500,7450
"Andhra Pradesh",Krishna,Tiruvuru,Rice,Fine,FAQ,28/03/2025,4500,4700,4600
"Andhra Pradesh",Kurnool,Adoni,Groundnut,Balli/Habbu,FAQ,28/03/2025,3266,6366,6161
"Andhra Pradesh",Kurnool,Yemmiganur,Groundnut,TMV-2,FAQ,28/03/2025,4619,6610,5690
"Andhra Pradesh",Kurnool,Yemmiganur,Groundnut,TMV-2,Non-FAQ,28/03/2025,2200,4519,4315
"Andhra Pradesh",Visakhapatnam,Anakapally,Gur(Jaggery),"NO 3",FAQ,28/03/2025,2860,3120,2990
Bihar,Banka,Barahat,Onion,Medium,FAQ,28/03/2025,2600,3000,2800
Bihar,Bhojpur,Aarah,Potato,Jyoti,FAQ,28/03/2025,1000,1200,1100
Bihar,Madhubani,Jahajharpur,Onion,Medium,FAQ,28/03/2025,2800,3000,2900
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),Other,FAQ,28/03/2025,800,1600,1200
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Grapes,Other,Medium,28/03/2025,3000,8000,6000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),"Green Chilli",Other,FAQ,28/03/2025,2000,3000,2500
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pumpkin,Other,FAQ,28/03/2025,500,800,700
Goa,"North Goa",Mapusa,Grapes,Green,Medium,28/03/2025,5000,5000,5000
Goa,"North Goa",Mapusa,"Mousambi(Sweet Lime)",Mousambi,Medium,28/03/2025,4000,4000,4000
Goa,"North Goa",Mapusa,Potato,Potato,FAQ,28/03/2025,2000,2000,2000
Goa,"South Goa",Canacona,Cashewnuts,Local(Raw),FAQ,28/03/2025,16200,16200,16200
Gujarat,Amreli,Damnagar,Brinjal,Other,FAQ,28/03/2025,850,1550,1200
Gujarat,Amreli,Damnagar,Coriander(Leaves),Coriander,FAQ,28/03/2025,3250,4050,3800
Gujarat,Amreli,Damnagar,Ginger(Green),"Green Ginger",FAQ,28/03/2025,4350,5050,4700
Gujarat,Amreli,Damnagar,Guar,Gwar,FAQ,28/03/2025,3200,4050,3750
Gujarat,Amreli,Damnagar,Tomato,Local,Non-FAQ,28/03/2025,550,1250,800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Cabbage,Cabbage,FAQ,28/03/2025,200,300,250
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Cauliflower,Cauliflower,FAQ,28/03/2025,400,500,450
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)","Bhindi(Ladies Finger)",Other,FAQ,28/03/2025,3500,4500,4000
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)","Bottle gourd","Bottle Gourd",FAQ,28/03/2025,500,1200,1000
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Cabbage,Other,FAQ,28/03/2025,500,1000,800
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Tinda,Other,FAQ,28/03/2025,6500,7500,7000
Gujarat,Anand,Tarapur,Wheat,Other,FAQ,28/03/2025,2450,3250,2650
Gujarat,Banaskanth,"Deesa(Deesa Veg Yard)","Gram Raw(Chholia)",Other,FAQ,28/03/2025,8000,8400,8200
Gujarat,Banaskanth,Panthawada,Wheat,Other,FAQ,28/03/2025,2425,2910,2650
Gujarat,Bharuch,Ankleshwar,Carrot,Carrot,FAQ,28/03/2025,1200,2000,1500
Gujarat,Bharuch,Ankleshwar,Lemon,Lemon,FAQ,28/03/2025,5000,9000,8000
Gujarat,Bharuch,Ankleshwar,Tomato,Tomato,FAQ,28/03/2025,400,800,600
Gujarat,Bharuch,Jambusar(Kaavi),Jowar(Sorghum),Other,FAQ,28/03/2025,3000,3600,3300
Gujarat,Bhavnagar,Taleja,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,28/03/2025,6350,7000,6675
Gujarat,Bhavnagar,Taleja,Jowar(Sorghum),Local,FAQ,28/03/2025,1700,3995,2850
Gujarat,Dahod,Dahod,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",Non-FAQ,28/03/2025,5700,5800,5750
Gujarat,Dahod,Dahod,"Arhar (Tur/Red Gram)(Whole)",Other,Non-FAQ,28/03/2025,6100,6200,6150
Gujarat,Dahod,Dahod,Maize,"White (SAFED)",FAQ,28/03/2025,2275,3000,2800
Gujarat,Dahod,Dahod,Rice,Coarse,FAQ,28/03/2025,5000,6000,5500
Gujarat,Dahod,Dahod,Soyabean,Soyabeen,Non-FAQ,28/03/2025,4200,4301,4250
Gujarat,Dahod,Dahod,Wheat,"147 Average",FAQ,28/03/2025,2700,2851,2800
Gujarat,Dahod,Devgadhbaria,Paddy(Dhan)(Common),Common,Non-FAQ,28/03/2025,1580,1600,1590
Gujarat,Kachchh,Bhuj,"Guar Seed(Cluster Beans Seed)",Whole,FAQ,28/03/2025,4888,4930,4909
Gujarat,Kheda,Nadiad,Potato,Other,FAQ,28/03/2025,1200,1600,1400
Gujarat,Kheda,Nadiyad(Piplag),Beetroot,Beetroot,FAQ,28/03/2025,500,650,600
Gujarat,Kheda,Nadiyad(Piplag),"Bhindi(Ladies Finger)",Bhindi,FAQ,28/03/2025,1300,1500,1450
Gujarat,Kheda,Nadiyad(Piplag),Brinjal,Brinjal,FAQ,28/03/2025,300,400,350
Gujarat,Kheda,Nadiyad(Piplag),Cabbage,Cabbage,FAQ,28/03/2025,600,700,650
Gujarat,Kheda,Nadiyad(Piplag),Carrot,Carrot,FAQ,28/03/2025,800,1000,900
Gujarat,Kheda,Nadiyad(Piplag),Cauliflower,Cauliflower,FAQ,28/03/2025,900,1000,950
Gujarat,Kheda,Nadiyad(Piplag),Ginger(Green),"Green Ginger",FAQ,28/03/2025,2000,2500,2400
Gujarat,Kheda,Nadiyad(Piplag),Lemon,Lemon,FAQ,28/03/2025,5000,6000,5500
Gujarat,Kheda,Nadiyad(Piplag),"Peas cod","Peas cod",FAQ,28/03/2025,2500,3000,2800
Gujarat,Kheda,Nadiyad(Piplag),"Pegeon Pea (Arhar Fali)","Pigeon Pea (Arhar Fali)",FAQ,28/03/2025,4000,4500,4350
Gujarat,Kheda,Nadiyad(Piplag),Tomato,Tomato,Non-FAQ,28/03/2025,250,350,300
Gujarat,Mehsana,"Mehsana(Mehsana Veg)","Bhindi(Ladies Finger)",Bhindi,FAQ,28/03/2025,250,4500,2750
Gujarat,Mehsana,"Mehsana(Mehsana Veg)","Green Chilli","Green Chilly",FAQ,28/03/2025,700,3100,2300
Gujarat,Mehsana,"Mehsana(Mehsana Veg)",Potato,Potato,FAQ,28/03/2025,150,1200,800
Gujarat,Navsari,Navsari,Banana,Amruthapani,Medium,28/03/2025,2000,3000,2500
Gujarat,Navsari,Navsari,"Bhindi(Ladies Finger)",Bhindi,FAQ,28/03/2025,3000,3500,3250
Gujarat,Navsari,Navsari,"Bottle gourd","Bottle Gourd",FAQ,28/03/2025,500,1000,750
Gujarat,Navsari,Navsari,"Green Chilli","Green Chilly",FAQ,28/03/2025,2500,5000,3750
Gujarat,Panchmahals,"Morva Hafad",Paddy(Dhan)(Common),Paddy,Non-FAQ,28/03/2025,1750,2000,1875
Gujarat,Porbandar,Porbandar,Guar,Gwar,FAQ,28/03/2025,4000,6000,5000
Gujarat,Porbandar,Porbandar,Tomato,Deshi,Non-FAQ,28/03/2025,500,1000,750
Gujarat,Rajkot,Dhoraji,"Arhar (Tur/Red Gram)(Whole)",Medium,Non-FAQ,28/03/2025,6430,6980,6805
Gujarat,Rajkot,Dhoraji,Groundnut,Local,Non-FAQ,28/03/2025,2880,4880,4480
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Guar,Gwar,FAQ,28/03/2025,2000,9000,5500
Gujarat,Sabarkantha,Vadali,"Castor Seed",Other,FAQ,28/03/2025,6000,6200,6100
Gujarat,Surat,Surat,Beetroot,Other,FAQ,28/03/2025,800,1500,1150
Gujarat,Surat,Surat,Cabbage,Other,FAQ,28/03/2025,400,1200,800
Gujarat,Surat,Surat,Carrot,Other,FAQ,28/03/2025,700,1300,1000
Gujarat,Surat,Surat,Cucumbar(Kheera),Other,FAQ,28/03/2025,500,2000,1250
Gujarat,Surat,Surat,"French Beans (Frasbean)",Other,FAQ,28/03/2025,3000,5800,4400
Gujarat,Surat,Surat,"Mango (Raw-Ripe)",Other,FAQ,28/03/2025,2750,6000,4375
Gujarat,Surat,Surat,Onion,Other,FAQ,28/03/2025,700,2500,1600
Gujarat,Surat,Surat,"Sponge gourd",Other,FAQ,28/03/2025,1000,3000,2000
Gujarat,Surendranagar,Vadhvan,"Bitter gourd","Bitter Gourd",FAQ,28/03/2025,3500,4000,3750
Gujarat,Surendranagar,Vadhvan,Brinjal,Brinjal,FAQ,28/03/2025,2000,2500,2250
Gujarat,Surendranagar,Vadhvan,Lemon,Lemon,FAQ,28/03/2025,9000,12500,10750
Gujarat,Surendranagar,Vadhvan,Tinda,Tinda,FAQ,28/03/2025,5000,5500,5250
Gujarat,Vadodara(Baroda),Padra,Cucumbar(Kheera),Other,FAQ,28/03/2025,750,1500,1150
Gujarat,Vadodara(Baroda),Padra,Lemon,Other,FAQ,28/03/2025,9000,10000,9500
Gujarat,Vadodara(Baroda),Padra,"Peas cod",Other,FAQ,28/03/2025,3500,4000,3750
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Beetroot,Other,FAQ,28/03/2025,1000,1500,1300
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Capsicum,Capsicum,FAQ,28/03/2025,1500,3000,2300
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Carrot,Other,FAQ,28/03/2025,1000,1500,1300
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Cauliflower,Other,FAQ,28/03/2025,800,1000,950
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Cucumbar(Kheera),Other,FAQ,28/03/2025,700,800,750
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Drumstick,Other,FAQ,28/03/2025,800,1000,950
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Elephant Yam (Suran)",Other,FAQ,28/03/2025,5000,5500,5300
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"French Beans (Frasbean)",Other,FAQ,28/03/2025,3000,3500,3300
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Ginger(Green),Other,FAQ,28/03/2025,3000,4000,3500
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Mango,Other,Medium,28/03/2025,2000,3500,2500
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Mango,Other,Small,28/03/2025,2000,3500,2500
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Onion Green",Other,FAQ,28/03/2025,1800,2000,1900
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),"Pointed gourd (Parval)",Other,FAQ,28/03/2025,4000,4500,4300
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Potato,Other,FAQ,28/03/2025,700,1800,1300
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Tomato,Other,FAQ,28/03/2025,300,500,450
Haryana,Ambala,"Ambala Cantt.",Capsicum,Other,FAQ,28/03/2025,1000,1600,1500
Haryana,Ambala,"Ambala Cantt.","French Beans (Frasbean)","French Beans (Frasbean)",FAQ,28/03/2025,1500,2000,1800
Haryana,Ambala,"Ambala Cantt.",Lemon,Other,FAQ,28/03/2025,5000,6000,5500
Haryana,Ambala,"Ambala Cantt.","Mousambi(Sweet Lime)",Mousambi,Medium,28/03/2025,3000,4000,3500
Haryana,Ambala,"Ambala Cantt.",Tomato,Other,FAQ,28/03/2025,400,600,500
Haryana,Ambala,Barara,Brinjal,Other,FAQ,28/03/2025,600,600,600
Haryana,Ambala,Barara,Carrot,Other,FAQ,28/03/2025,600,800,800
Haryana,Ambala,Naraingarh,Cabbage,Other,FAQ,28/03/2025,300,500,400
Haryana,Ambala,Naraingarh,Carrot,Carrot,FAQ,28/03/2025,500,1500,1000
Haryana,Ambala,Naraingarh,Ginger(Dry),Other,FAQ,28/03/2025,3000,5000,3800
Haryana,Ambala,Naraingarh,"Karbuja(Musk Melon)",Karbhuja,Medium,28/03/2025,4000,4000,4000
Haryana,Ambala,Naraingarh,Orange,Orange,Medium,28/03/2025,3000,6000,5000
Haryana,Ambala,Shahzadpur,"Bottle gourd","Bottle Gourd",FAQ,28/03/2025,750,750,750
Haryana,Ambala,Shahzadpur,Brinjal,Brinjal,FAQ,28/03/2025,1000,1000,1000
Haryana,Ambala,Shahzadpur,"Water Melon","Water Melon",Medium,28/03/2025,1500,1500,1500
Haryana,Bhiwani,Loharu,Mustard,Other,FAQ,28/03/2025,5950,5950,5950
Haryana,Faridabad,Ballabhgarh,Beetroot,Beetroot,FAQ,28/03/2025,500,800,600
Haryana,Faridabad,Ballabhgarh,"Bottle gourd",Other,FAQ,28/03/2025,500,800,600
Haryana,Fatehabad,Fatehabad,Orange,Other,Large,28/03/2025,6000,6000,6000
Haryana,Fatehabad,Jakhal,"Bottle gourd","Bottle Gourd",FAQ,28/03/2025,1000,1200,1200
Haryana,Gurgaon,Gurgaon,Apple,Other,Large,28/03/2025,8000,10000,9000
Haryana,Gurgaon,Gurgaon,"Bottle gourd","Bottle Gourd",FAQ,28/03/2025,800,1000,900
Haryana,Gurgaon,Gurgaon,"Bottle gourd",Other,FAQ,28/03/2025,600,800,700
Haryana,Gurgaon,Gurgaon,Potato,Other,FAQ,28/03/2025,1000,1200,1100
Haryana,Gurgaon,Pataudi,Brinjal,Other,FAQ,28/03/2025,1000,1200,1100
Haryana,Gurgaon,Pataudi,Cauliflower,Other,FAQ,28/03/2025,500,600,550
Haryana,Gurgaon,Sohna,Brinjal,Brinjal,FAQ,28/03/2025,1000,1500,1200
Haryana,Gurgaon,Sohna,Cabbage,Cabbage,FAQ,28/03/2025,800,1200,1000
Haryana,Gurgaon,Sohna,Potato,Potato,FAQ,28/03/2025,1000,1200,1200
Haryana,Gurgaon,Sohna,Pumpkin,Pumpkin,FAQ,28/03/2025,800,1200,1200
Haryana,Hissar,Barwala(Hisar),"Bitter gourd",Other,FAQ,28/03/2025,3500,4000,3800
Haryana,Hissar,Barwala(Hisar),"Bottle gourd",Other,FAQ,28/03/2025,900,1000,1000
Haryana,Hissar,Barwala(Hisar),Cauliflower,Other,FAQ,28/03/2025,600,700,700
Haryana,Hissar,Barwala(Hisar),Grapes,Other,Medium,28/03/2025,5000,6000,5500
Haryana,Hissar,Barwala(Hisar),Lemon,Other,FAQ,28/03/2025,4500,5000,4800
Haryana,Hissar,Barwala(Hisar),Potato,Other,FAQ,28/03/2025,1000,1100,1100
Haryana,Hissar,Hansi,"Bitter gourd",Other,FAQ,28/03/2025,3000,4000,3500
Haryana,Hissar,Hansi,Pomegranate,Other,Medium,28/03/2025,8000,12000,10000
Haryana,Hissar,Hansi,Pumpkin,Other,FAQ,28/03/2025,1000,1500,1300
Haryana,Hissar,Hissar,Mustard,Other,FAQ,28/03/2025,5950,5950,5950
Haryana,Hissar,Hissar,Mustard,Other,Non-FAQ,28/03/2025,5200,5944,5500
Haryana,Hissar,Uklana,Apple,Apple,Medium,28/03/2025,6500,6500,6500
Haryana,Hissar,Uklana,Brinjal,Other,FAQ,28/03/2025,1000,1200,1200
Haryana,Jhajar,Bahadurgarh,Beetroot,Other,FAQ,28/03/2025,2500,3000,2800
Haryana,Jhajar,Bahadurgarh,"Bitter gourd",Other,FAQ,28/03/2025,2500,5000,3500
Haryana,Jhajar,Bahadurgarh,Carrot,Other,FAQ,28/03/2025,800,1000,900
Haryana,Jhajar,Bahadurgarh,Cauliflower,Other,FAQ,28/03/2025,500,800,600
Haryana,Jhajar,Bahadurgarh,Ginger(Green),Other,FAQ,28/03/2025,5500,6000,5800
Haryana,Jhajar,Bahadurgarh,Grapes,Other,Medium,28/03/2025,6500,8000,7000
Haryana,Jhajar,Bahadurgarh,Lemon,Other,FAQ,28/03/2025,5500,6000,5800
Haryana,Jhajar,Bahadurgarh,Onion,Other,Non-FAQ,28/03/2025,800,1100,1000
Haryana,Jhajar,Bahadurgarh,Tomato,Other,Non-FAQ,28/03/2025,400,550,500
Haryana,Jind,Jullana,Mustard,Other,FAQ,28/03/2025,5762,5950,5950
Haryana,Jind,Narwana,Chikoos(Sapota),Other,Medium,28/03/2025,6000,6000,6000
Haryana,Jind,Safidon,Mustard,"Big 100 Kg",FAQ,28/03/2025,5400,5950,5867
Haryana,Kaithal,Dhand,Potato,Other,FAQ,28/03/2025,800,1000,950
Haryana,Kaithal,Dhand,Tomato,Deshi,FAQ,28/03/2025,700,1000,950
Haryana,Kaithal,Siwan,Brinjal,Other,FAQ,28/03/2025,1200,1300,1300
Haryana,Kaithal,Siwan,Cauliflower,Other,FAQ,28/03/2025,400,500,450
Haryana,Kaithal,Siwan,Cucumbar(Kheera),Other,FAQ,28/03/2025,1100,1250,1200
Haryana,Kaithal,Siwan,Tomato,Other,FAQ,28/03/2025,1100,1250,1200
Haryana,Karnal,Indri,Banana,Other,Medium,28/03/2025,3000,3300,3000
Haryana,Karnal,Indri,Pomegranate,Other,Medium,28/03/2025,12000,12000,12000
Haryana,Karnal,Tarori,Banana,Other,Medium,28/03/2025,2000,2500,2200
Haryana,Kurukshetra,Ladwa,"Green Chilli","Green Chilly",FAQ,28/03/2025,3000,4500,3500
Haryana,Kurukshetra,Ladwa,Orange,Orange,Medium,28/03/2025,4500,5000,4800
Haryana,Kurukshetra,Ladwa,Pineapple,"Pine Apple",Medium,28/03/2025,3000,3000,3000
Haryana,Kurukshetra,Ladwa,"Water Melon","Water Melon",Medium,28/03/2025,1000,1000,1000
Haryana,Kurukshetra,Shahabad,Brinjal,Brinjal,FAQ,28/03/2025,700,1200,1000
Haryana,Kurukshetra,Shahabad,Cabbage,Cabbage,FAQ,28/03/2025,300,300,300
Haryana,Kurukshetra,Shahabad,Cucumbar(Kheera),Cucumbar,FAQ,28/03/2025,700,1200,900
Haryana,Kurukshetra,Shahabad,"Green Chilli","Green Chilly",FAQ,28/03/2025,4500,5500,5000
Haryana,Kurukshetra,Shahabad,Spinach,Spinach,FAQ,28/03/2025,600,1000,900
Haryana,Mahendragarh-Narnaul,Mohindergarh,Beetroot,Beetroot,FAQ,28/03/2025,1000,1000,1000
Haryana,Mahendragarh-Narnaul,Mohindergarh,"Bitter gourd","Bitter Gourd",FAQ,28/03/2025,2000,2200,2200
Haryana,Mahendragarh-Narnaul,Mohindergarh,Cabbage,Cabbage,FAQ,28/03/2025,500,1000,500
Haryana,Mahendragarh-Narnaul,Mohindergarh,Cucumbar(Kheera),Cucumbar,FAQ,28/03/2025,700,1200,1000
Haryana,Mahendragarh-Narnaul,Mohindergarh,Ginger(Green),"Green Ginger",FAQ,28/03/2025,4000,4000,4000
Haryana,Mahendragarh-Narnaul,Narnaul,Chikoos(Sapota),Sapota,Medium,28/03/2025,3000,3000,3000
Haryana,Mahendragarh-Narnaul,Narnaul,"Karbuja(Musk Melon)",Karbhuja,Medium,28/03/2025,2000,2500,2200
Haryana,Mahendragarh-Narnaul,Narnaul,Lemon,Lemon,FAQ,28/03/2025,4000,6000,6000
Haryana,Mahendragarh-Narnaul,Narnaul,Potato,Potato,FAQ,28/03/2025,1200,1200,1200
Haryana,Mahendragarh-Narnaul,Narnaul,Spinach,Spinach,FAQ,28/03/2025,1500,1500,1500
Haryana,Mahendragarh-Narnaul,Narnaul,Tomato,Tomato,FAQ,28/03/2025,1000,1100,1100
Haryana,Mahendragarh-Narnaul,Narnaul,"Water Melon","Water Melon",Medium,28/03/2025,1000,2000,1500
Haryana,Mewat,Punhana,"Bitter gourd",Other,FAQ,28/03/2025,2500,2500,2500
Haryana,Mewat,Punhana,Cucumbar(Kheera),Cucumbar,FAQ,28/03/2025,1500,2000,1800
Haryana,Mewat,Punhana,"Karbuja(Musk Melon)",Karbhuja,Medium,28/03/2025,2000,3000,2500
Haryana,Palwal,Hassanpur,Raddish,Raddish,FAQ,28/03/2025,800,800,800
Haryana,Palwal,Hassanpur,Wheat,Other,Non-FAQ,28/03/2025,1990,1990,1990
Haryana,Panchkula,Barwala,"Bottle gourd",Other,FAQ,28/03/2025,1000,1400,1200
Haryana,Panchkula,"New Grain Market , Panchkula",Apple,Apple,Large,28/03/2025,8500,9500,9000
Haryana,Panchkula,"Raipur Rai","Bottle gourd","Bottle Gourd",FAQ,28/03/2025,800,1000,800
Haryana,Panchkula,"Raipur Rai",Brinjal,Other,FAQ,28/03/2025,1200,1400,1200
Haryana,Panchkula,"Raipur Rai",Ginger(Green),"Green Ginger",FAQ,28/03/2025,2800,3000,2800
Haryana,Panchkula,"Raipur Rai","Green Chilli",Other,FAQ,28/03/2025,2400,2600,2400
Haryana,Panchkula,"Raipur Rai","Peas Wet",Other,FAQ,28/03/2025,1800,2000,1800
Haryana,Panchkula,"Raipur Rai",Potato,Other,FAQ,28/03/2025,800,1000,800
Haryana,Panchkula,"Raipur Rai",Raddish,Other,FAQ,28/03/2025,500,600,500
Haryana,Panchkula,"Raipur Rai",Spinach,Spinach,FAQ,28/03/2025,600,700,600
Haryana,Panipat,Panipat,Brinjal,"Arkasheela Mattigulla",FAQ,28/03/2025,600,800,700
Haryana,Panipat,Panipat,Cabbage,Other,FAQ,28/03/2025,500,700,600
Haryana,Panipat,Panipat,Cucumbar(Kheera),Other,FAQ,28/03/2025,800,1200,1000
Haryana,Panipat,Panipat,Onion,Other,FAQ,28/03/2025,800,1200,1000
Haryana,Panipat,Samalkha,Coriander(Leaves),Coriander,FAQ,28/03/2025,1500,1500,1500
Haryana,Panipat,Samalkha,"Green Chilli","Green Chilly",FAQ,28/03/2025,5000,5000,5000
Haryana,Panipat,Samalkha,Onion,Local,FAQ,28/03/2025,1600,1600,1600
Haryana,Rewari,Kosli,Brinjal,Other,FAQ,28/03/2025,1000,1000,1000
Haryana,Rewari,Kosli,Potato,Other,FAQ,28/03/2025,1000,1000,1000
Haryana,Rewari,Rewari,Onion,Medium,Non-FAQ,28/03/2025,1000,2000,1500
Haryana,Rohtak,Meham,Cucumbar(Kheera),Cucumbar,FAQ,28/03/2025,1000,1000,1000
Haryana,Rohtak,Meham,Grapes,Other,Medium,28/03/2025,5000,6000,5500
Haryana,Rohtak,Meham,Guava,Guava,Medium,28/03/2025,2500,2500,2500
Haryana,Rohtak,Meham,Tomato,Deshi,FAQ,28/03/2025,600,1000,800
Haryana,Rohtak,Rohtak,Apple,Other,Large,28/03/2025,5000,10000,7000
Haryana,Rohtak,Rohtak,Guava,Other,Large,28/03/2025,1500,4000,2500
Haryana,Rohtak,Sampla,Banana,Other,Large,28/03/2025,2500,2500,2500
Haryana,Rohtak,Sampla,Onion,Other,FAQ,28/03/2025,1500,1500,1500
Haryana,Sirsa,Ellanabad,"Barley (Jau)",Local,FAQ,28/03/2025,1772,1975,1882
Haryana,Sirsa,Ellanabad,Potato,Potato,FAQ,28/03/2025,500,800,700
Haryana,Sirsa,kalanwali,Chikoos(Sapota),Other,Medium,28/03/2025,2500,3000,3000
Haryana,Sirsa,kalanwali,Potato,Other,FAQ,28/03/2025,1200,1200,1200
Haryana,Sirsa,Sirsa,Banana,Other,Medium,28/03/2025,2000,2000,2000
Haryana,Sirsa,Sirsa,Grapes,Other,Medium,28/03/2025,4500,7700,6000
Haryana,Sirsa,Sirsa,Potato,Other,FAQ,28/03/2025,450,700,500
Haryana,Sirsa,Sirsa,Tomato,Other,FAQ,28/03/2025,700,1300,1000
Haryana,Sonipat,Ganaur,"Bhindi(Ladies Finger)",Bhindi,FAQ,28/03/2025,4500,5000,4800
Haryana,Sonipat,Ganaur,Carrot,Carrot,FAQ,28/03/2025,2000,2500,2200
Haryana,Sonipat,Ganaur,Lemon,Lemon,FAQ,28/03/2025,9000,10000,9500
Haryana,Sonipat,Ganaur,"Peas Wet","Peas Wet",FAQ,28/03/2025,2200,2500,2400
Haryana,Sonipat,Ganaur,Tomato,Tomato,FAQ,28/03/2025,800,1000,1000
Haryana,Sonipat,Gohana,Orange,Other,Large,28/03/2025,5000,7000,6000
Haryana,Sonipat,"New Grain Market , Sonipat",Mustard,Other,FAQ,28/03/2025,5060,5710,5060
Haryana,Sonipat,Sonepat,Carrot,Other,FAQ,28/03/2025,800,2000,2000
Haryana,Sonipat,Sonepat,Cauliflower,Other,FAQ,28/03/2025,500,600,600
Haryana,Sonipat,Sonepat,Potato,Other,FAQ,28/03/2025,700,1000,1000
Haryana,Sonipat,Sonepat(Kharkhoda),Tomato,Deshi,FAQ,28/03/2025,1200,1500,1300
Haryana,"Yamuna Nagar",Chhachrauli,"Peas Wet","Peas Wet",FAQ,28/03/2025,4000,4000,4000
Haryana,"Yamuna Nagar",Jagadhri,"Bhindi(Ladies Finger)",Other,FAQ,28/03/2025,4000,6500,5500
Haryana,"Yamuna Nagar",Jagadhri,Cucumbar(Kheera),Other,FAQ,28/03/2025,900,1500,1250
Haryana,"Yamuna Nagar",Jagadhri,Lemon,Other,FAQ,28/03/2025,5800,9000,8500
Haryana,"Yamuna Nagar",Jagadhri,"Water Melon",Other,Medium,28/03/2025,1200,1500,1400
Haryana,"Yamuna Nagar",Radaur,Banana,Other,Medium,28/03/2025,3200,3800,3500
Haryana,"Yamuna Nagar",Radaur,"Bottle gourd",Other,FAQ,28/03/2025,1200,1500,1400
Haryana,"Yamuna Nagar",Radaur,Cabbage,Other,FAQ,28/03/2025,600,700,650
Haryana,"Yamuna Nagar",Radaur,Cucumbar(Kheera),Other,FAQ,28/03/2025,1000,1200,1100
Haryana,"Yamuna Nagar",Radaur,Lemon,Other,FAQ,28/03/2025,3500,5000,4500
Haryana,"Yamuna Nagar",Radaur,Raddish,Other,FAQ,28/03/2025,250,400,300
"Himachal Pradesh",Chamba,Chamba,Ginger(Green),Other,FAQ,28/03/2025,5500,6000,5750
"Himachal Pradesh",Chamba,Chamba,Guava,Other,Medium,28/03/2025,6500,7000,6750
"Himachal Pradesh",Chamba,Chamba,"Peas Wet",Other,FAQ,28/03/2025,3000,3500,3250
"Himachal Pradesh",Chamba,Chamba,Potato,Other,FAQ,28/03/2025,1200,1400,1300
"Himachal Pradesh",Hamirpur,Hamirpur,"Bottle gourd",Other,FAQ,28/03/2025,2200,2500,2350
"Himachal Pradesh",Hamirpur,Hamirpur,Spinach,Other,FAQ,28/03/2025,2500,2500,2500
"Himachal Pradesh",Hamirpur,Hamirpur,Tomato,Other,FAQ,28/03/2025,1500,1800,1650
"Himachal Pradesh",Hamirpur,Hamirpur(Nadaun),Cabbage,Other,FAQ,28/03/2025,1000,1000,1000
